ntwk,state,site_name,site_no,start,lat,lon,elev,county,huc
SNTL,WY,TWO OCEAN PLATEAU,837,1979-October,44.15,-110.22,9240,Teton,De Lacy Creek (170401010201)
SNTL,WY,WEBBER SPRINGS,852,1976-February,41.16,-106.93,9250,Carbon,North Fork Encampment River (101800020406)
SNTL,WY,WHISKEY PARK,859,1985-October,41,-106.91,8950,Carbon,King Solomon Creek (140500030102)
SNTL,WY,WILLOW CREEK,868,1979-October,42.82,-110.84,8080,Lincoln,Tygee Creek (170401050204)
SNTL,WY,WINDY PEAK,872,1979-October,42.28,-105.58,7900,Albany,Middle Bear Creek (101800080802)
SNTL,WY,WOLVERINE,875,1979-October,44.8,-109.66,7650,Park,Crazy Creek (100700060104)
SNTL,WY,YOUNTS PEAK,878,1979-October,43.93,-109.82,8350,Park,East Fork Creek (100800130103)
SNTL,AZ,BAKER BUTTE,308,1965-October,34.46,-111.41,7300,Gila,Pine Creek (150602030206)
SNTL,AZ,BAKER BUTTE SMT,1140,2009-May,34.46,-111.38,7700,Coconino,Toms Creek (150602030103)
SNTL,AZ,BALDY,310,1949-November,33.98,-109.5,9125,Apache,Hall Creek-Little Colorado River (150200010203)
SNTL,AZ,BAR M,1212,2012-September,34.86,-111.61,6393,Coconino,Bar M Canyon (150602020601)
SNTL,AZ,BEAVER HEAD,902,1993-October,33.69,-109.22,7990,Greenlee,Upper Beaver Creek (150601010107)
SNTL,AZ,BEAVER SPRING,1143,2009-October,36.33,-109.06,9200,Apache,Tsaile Creek-Tsaile Lake (140802040401)
SNTL,AZ,CHALENDER,1139,2009-May,35.26,-112.06,7100,Coconino,Pitman Valley-Scholz Lake (150602020305)
SNTL,AZ,CORONADO TRAIL,416,1978-October,33.8,-109.15,8400,Apache,Coleman Creek (150400040501)
SNTL,AZ,FORT VALLEY,1121,2008-June,35.27,-111.74,7350,Coconino,Upper Rio de Flag (150200150102)
SNTL,AZ,FRY,488,1978-October,35.07,-111.84,7200,Coconino,Fry Canyon (150602020501)
SNTL,AZ,HANNAGAN MEADOWS,511,1956-October,33.65,-109.31,9020,Greenlee,Upper Beaver Creek (150601010107)
SNTL,AZ,HAPPY JACK,969,1999-June,34.75,-111.41,7630,Coconino,Brady Canyon (150602020604)
SNTL,AZ,HAWLEY LAKE,1271,2015-September,33.97,-109.77,8300,Apache,Trout Creek (150601020106)
SNTL,AZ,HEBER,519,1953-October,34.31,-110.75,7640,Coconino,West Fork Black Canyon (150200100201)
SNTL,AZ,MAVERICK FORK,617,1953-October,33.92,-109.46,9200,Apache,Upper West Fork Black River (150601010104)
SNTL,AZ,MORMON MOUNTAIN,640,1963-January,34.94,-111.52,7500,Coconino,Mormon Lake (150200150201)
SNTL,AZ,MORMON MTN SUMMIT,1125,2008-June,34.97,-111.51,8500,Coconino,Walnut Creek-Upper Lake Mary (150200150202)
SNTL,AZ,NUTRIOSO,1127,2008-June,33.9,-109.16,8500,Apache,San Francisco River-Luna Lake (150400040301)
SNTL,AZ,PROMONTORY,705,1979-October,34.37,-111.01,7930,Coconino,Upper Willow Creek (150200080306)
SNTL,AZ,SNOWSLIDE CANYON,927,1997-September,35.34,-111.65,9730,Coconino,Bear Jaw Canyon (150200160201)
SNTL,AZ,WHITE HORSE LAKE,861,1970-November,35.14,-112.15,7180,Coconino,Upper Hell Canyon (150602020204)
SNTL,AZ,WILDCAT,866,1983-October,33.76,-109.48,7850,Greenlee,Centerfire Creek (150601010109)
SNTL,AZ,WORKMAN CREEK,877,1938-December,33.81,-110.92,6900,Gila,Workman Creek (150601030802)
